transaction_id,customer_id,amount,timestamp,country,merchant_category,device_id,ip_address,is_fraud
1,1001,120.5,1/10/2024 8:32,US,retail,D1,192.168.0.1,0
2,1002,5020,1/10/2024 3:45,RU,electronics,D2,10.0.0.2,1
3,1003,75,1/11/2024 12:20,US,food,D3,172.16.0.3,0
4,1001,4000,1/11/2024 1:10,NG,retail,D1,192.168.0.1,1
5,1004,90,1/12/2024 14:15,US,food,D4,192.168.0.4,0
6,1005,8000,1/13/2024 4:55,CN,luxury,D5,10.0.0.5,1
7,1003,60,1/14/2024 10:40,US,food,D3,172.16.0.3,0
8,1006,300,1/15/2024 23:15,BR,travel,D6,192.168.0.6,0
9,1007,9500,1/16/2024 2:30,PK,electronics,D7,10.0.0.7,1
10,1008,150,1/17/2024 15:20,US,food,D8,192.168.0.8,0
11,1009,18000,1/17/2024 4:45,NG,jewelry,D9,10.0.0.9,1
12,1009,25,,NG,jewelry,D9,10.0.0.9,1
13,1010,,1/18/2024 12:00,US,food,D10,172.16.0.10,0
14,1011,200,1/19/2024 19:10,UK,electronics,D11,192.168.0.11,0
15,1002,60,1/19/2024 3:00,RU,luxury,D2,10.0.0.2,1
16,1012,2200,1/20/2024 23:55,CN,travel,D12,192.168.0.12,1
17,1008,155,1/21/2024 12:15,US,travel,D8,192.168.0.8,0
18,1013,-500,1/22/2024 10:20,US,food,D13,172.16.0.13,0
19,1014,750,1/22/2024 1:50,NG,electronics,D14,10.0.0.14,1
20,1015,1500,1/23/2024 6:05,CN,luxury,D15,192.168.0.15,1
21,1016,55,1/23/2024 14:10,US,food,D16,172.16.0.16,0
22,1009,25,1/23/2024 15:15,NG,jewelry,D9,10.0.0.9,1
23,1017,6500,1/24/2024 2:00,PK,luxury,D17,10.0.0.17,1
24,1018,450,1/24/2024 22:30,US,travel,D18,192.168.0.18,0
25,1019,89,1/25/2024 9:05,US,food,D19,172.16.0.19,0
